wiki,overall size rank,monthly unique devices,mobile unique devices,mobile web pageviews,mobile app pageviews,unique devices per editor,monthly editors,monthly active editors,monthly active administrators,majority-mobile editors,monthly new active editors,second-month new editor retention,monthly nonbot edits,bot edits,mobile edits,visual edits,anonymous edits,revert rate,edits Gini coefficient,monthly flow messages,content pages,cumulative content edits,edits per content page,script direction,database code,project code,language code,domain name,language name,project name,wiki name
Tatar Wikipedia,173,"51,468",24.1%,7.2%,0.1%,944,55,16,4,4.8%,1,7.7%,"4,092",55.5%,0.4%,8.4%,2.9%,2.5%,0.97,0,"79,743","272,590",3,left-to-right,ttwiki,wikipedia,tt,https://tt.wikipedia.org,Tatar,Wikipedia,Tatar Wikipedia
Norwegian Wiktionary,174,"129,631",54.8%,40.8%,0.0%,"6,976",19,6,3,9.9%,0,0.0%,"1,152",52.6%,14.1%,0.3%,6.2%,3.5%,0.95,0,"142,178","359,347",3,left-to-right,nowiktionary,wiktionary,no,https://no.wiktionary.org,Norwegian,Wiktionary,Norwegian Wiktionary
Arabic Wiktionary,175,"138,835",81.9%,44.8%,0.0%,"3,507",40,6,3,41.5%,1,1.5%,721,58.6%,16.1%,3.0%,16.3%,6.3%,0.91,0,"65,007","223,460",3,right-to-left,arwiktionary,wiktionary,ar,https://ar.wiktionary.org,Arabic,Wiktionary,Arabic Wiktionary
Persian Wikiquote,176,"95,913",72.2%,54.8%,0.0%,"2,398",40,8,4,17.7%,2,4.2%,"2,085",0.9%,1.4%,0.8%,1.7%,4.9%,0.96,0,"8,365","86,794",10,right-to-left,fawikiquote,wikiquote,fa,https://fa.wikiquote.org,Persian,Wikiquote,Persian Wikiquote
Persian Wiktionary,177,"159,593",80.4%,68.9%,0.0%,"4,163",38,5,2,43.8%,1,0.0%,692,4.8%,15.9%,2.2%,17.0%,5.3%,0.93,0,"97,923","138,223",1,right-to-left,fawiktionary,wiktionary,fa,https://fa.wiktionary.org,Persian,Wiktionary,Persian Wiktionary
Odia Wikipedia,178,"39,695",48.9%,24.9%,1.2%,656,61,18,5,24.2%,2,4.9%,"2,277",34.9%,4.1%,4.7%,2.0%,1.0%,0.95,0,"13,966","104,577",7,left-to-right,orwiki,wikipedia,or,https://or.wikipedia.org,Odia,Wikipedia,Odia Wikipedia
Waray Wikipedia,179,"52,079",31.0%,6.7%,0.2%,798,65,14,3,3.2%,1,0.0%,"1,029",11.8%,1.2%,1.9%,15.0%,5.6%,0.92,0,"1,263,125","300,300",0,left-to-right,warwiki,wikipedia,war,https://war.wikipedia.org,Waray,Wikipedia,Waray Wikipedia
Catalan Wiktionary,180,"118,496",50.8%,39.0%,0.0%,"5,852",20,6,2,4.4%,0,0.0%,"3,087",82.5%,0.5%,0.2%,2.2%,0.9%,0.97,0,"346,958","216,367",1,left-to-right,cawiktionary,wiktionary,ca,https://ca.wiktionary.org,Catalan,Wiktionary,Catalan Wiktionary
Hebrew Wikibooks,181,"143,664",53.5%,45.1%,0.0%,"7,305",20,5,2,10.7%,1,11.1%,392,0.9%,5.5%,2.4%,28.2%,11.8%,0.91,0,"4,343","80,241",18,right-to-left,hewikibooks,wikibooks,he,https://he.wikibooks.org,Hebrew,Wikibooks,Hebrew Wikibooks
Korean Wikisource,182,"70,347",46.0%,30.0%,0.0%,"2,688",26,10,2,6.2%,1,0.0%,821,27.2%,1.6%,0.4%,7.1%,4.1%,0.89,0,"17,587","107,181",6,left-to-right,kowikisource,wikisource,ko,https://ko.wikisource.org,Korean,Wikisource,Korean Wikisource
Hungarian Wiktionary,183,"152,395",48.0%,32.9%,0.0%,"6,824",22,4,2,5.3%,1,0.0%,"4,623",5.7%,3.4%,0.1%,77.1%,1.0%,0.98,0,"348,851","1,060,268",3,left-to-right,huwiktionary,wiktionary,hu,https://hu.wiktionary.org,Hungarian,Wiktionary,Hungarian Wiktionary
Arabic Wikiquote,184,"133,876",78.2%,72.6%,0.0%,"3,285",41,5,2,44.2%,1,2.8%,750,65.1%,15.3%,1.9%,8.1%,4.1%,0.92,0,"1,336","20,540",15,right-to-left,arwikiquote,wikiquote,ar,https://ar.wikiquote.org,Arabic,Wikiquote,Arabic Wikiquote
Kurdish Wikipedia,185,"48,941",29.5%,12.2%,1.1%,"1,062",46,13,4,15.1%,1,7.1%,"1,109",6.4%,16.4%,11.8%,10.3%,4.3%,0.93,0,"23,541","235,852",10,left-to-right,kuwiki,wikipedia,ku,https://ku.wikipedia.org,Kurdish,Wikipedia,Kurdish Wikipedia
Thai Wikibooks,186,"188,820",66.0%,64.5%,0.0%,"11,740",16,3,2,16.3%,0,0.0%,414,0.1%,6.0%,1.8%,14.4%,10.2%,0.91,0,"4,742","18,889",4,left-to-right,thwikibooks,wikibooks,th,https://th.wikibooks.org,Thai,Wikibooks,Thai Wikibooks
Arabic Wikibooks,187,"146,010",69.1%,64.9%,0.0%,"3,760",39,4,2,49.3%,1,1.0%,280,58.7%,26.8%,4.1%,18.9%,10.3%,0.83,0,727,"14,787",20,right-to-left,arwikibooks,wikibooks,ar,https://ar.wikibooks.org,Arabic,Wikibooks,Arabic Wikibooks
Chinese (Min Nan) Wikipedia,188,"41,584",19.1%,5.7%,0.2%,603,69,14,4,4.3%,1,25.0%,"2,869",84.3%,0.8%,0.7%,25.9%,0.9%,0.97,0,"226,859","138,291",1,left-to-right,zh_min_nanwiki,wikipedia,zh-min-nan,https://zh-min-nan.wikipedia.org,Chinese (Min Nan),Wikipedia,Chinese (Min Nan) Wikipedia
Thai Wikisource,189,"155,479",66.4%,62.3%,0.0%,"9,768",16,4,2,11.9%,1,11.1%,392,0.1%,13.3%,0.9%,29.1%,5.2%,0.88,0,"8,251","44,894",5,left-to-right,thwikisource,wikisource,th,https://th.wikisource.org,Thai,Wikisource,Thai Wikisource
Assamese Wikipedia,190,"57,335",62.4%,28.5%,0.7%,"1,448",40,10,3,29.9%,2,6.8%,718,11.2%,12.9%,4.7%,11.8%,1.8%,0.92,0,"4,932","69,324",14,left-to-right,aswiki,wikipedia,as,https://as.wikipedia.org,Assamese,Wikipedia,Assamese Wikipedia
South Azerbaijani Wikipedia,191,"40,208",43.7%,13.8%,0.5%,776,52,14,4,11.4%,1,9.1%,"6,526",67.7%,2.4%,2.3%,5.7%,12.5%,0.98,0,"86,955","158,417",2,right-to-left,azbwiki,wikipedia,azb,https://azb.wikipedia.org,South Azerbaijani,Wikipedia,South Azerbaijani Wikipedia
Tamil Wiktionary,192,"81,175",77.3%,59.4%,0.0%,"2,479",33,7,2,10.3%,1,0.0%,292,9.3%,7.3%,2.6%,14.3%,3.3%,0.84,0,"354,734","327,905",1,left-to-right,tawiktionary,wiktionary,ta,https://ta.wiktionary.org,Tamil,Wiktionary,Tamil Wiktionary
Turkish Wikisource,193,"111,818",72.7%,61.2%,0.0%,"8,770",13,5,2,25.0%,0,3.2%,381,3.1%,7.0%,1.1%,8.4%,5.1%,0.90,0,"3,469","29,964",9,left-to-right,trwikisource,wikisource,tr,https://tr.wikisource.org,Turkish,Wikisource,Turkish Wikisource
Somali Wikipedia,194,"90,309",68.8%,46.2%,0.2%,"2,033",44,5,3,42.3%,2,3.3%,392,2.7%,26.8%,14.3%,31.9%,3.6%,0.86,0,"4,839","59,369",12,left-to-right,sowiki,wikipedia,so,https://so.wikipedia.org,Somali,Wikipedia,Somali Wikipedia
Slovenian Wikisource,195,"27,841",43.1%,13.6%,0.0%,983,28,15,1,2.2%,4,33.3%,611,0.3%,1.2%,0.9%,8.0%,2.0%,0.82,0,"13,778","128,765",9,left-to-right,slwikisource,wikisource,sl,https://sl.wikisource.org,Slovenian,Wikisource,Slovenian Wikisource
Portuguese Wikiquote,196,"95,389",58.5%,49.6%,0.0%,"3,469",28,4,4,8.6%,0,0.0%,214,0.9%,11.6%,6.6%,16.9%,5.4%,0.84,0,"7,180","88,622",12,left-to-right,ptwikiquote,wikiquote,pt,https://pt.wikiquote.org,Portuguese,Wikiquote,Portuguese Wikiquote
Finnish Wikibooks,197,"74,936",54.8%,47.9%,0.0%,"4,733",16,6,2,12.2%,0,15.4%,558,0.3%,4.2%,17.1%,18.3%,4.0%,0.89,0,"3,016","82,299",27,left-to-right,fiwikibooks,wikibooks,fi,https://fi.wikibooks.org,Finnish,Wikibooks,Finnish Wikibooks
Sicilian Wikipedia,198,"66,026",39.0%,13.2%,0.2%,"2,297",29,6,3,11.0%,2,14.3%,739,4.3%,7.1%,4.3%,8.9%,3.1%,0.93,0,"26,038","158,669",6,left-to-right,scnwiki,wikipedia,scn,https://scn.wikipedia.org,Sicilian,Wikipedia,Sicilian Wikipedia
Low German Wikipedia,199,"46,477",26.0%,8.1%,0.3%,891,52,8,4,2.7%,0,28.6%,"3,188",4.2%,0.3%,1.1%,1.5%,1.0%,0.98,0,"30,570","206,067",7,left-to-right,ndswiki,wikipedia,nds,https://nds.wikipedia.org,Low German,Wikipedia,Low German Wikipedia
Venetian Wikipedia,200,"42,408",38.6%,12.6%,0.2%,"1,220",35,9,3,11.6%,1,26.7%,491,11.0%,19.0%,16.5%,17.0%,4.2%,0.90,0,"11,193","88,640",8,left-to-right,vecwiki,wikipedia,vec,https://vec.wikipedia.org,Venetian,Wikipedia,Venetian Wikipedia
Spanish Wikivoyage,201,"46,902",52.2%,30.8%,0.0%,"1,237",38,8,3,13.2%,2,1.3%,559,21.6%,4.3%,15.2%,21.0%,11.7%,0.88,0,"2,464","75,863",31,left-to-right,eswikivoyage,wikivoyage,es,https://es.wikivoyage.org,Spanish,Wikivoyage,Spanish Wikivoyage
Ukrainian Wikiquote,202,"58,939",52.7%,45.2%,0.0%,"2,414",24,6,2,3.3%,0,0.0%,356,70.9%,1.5%,0.5%,6.4%,3.1%,0.89,0,"5,578","41,182",7,left-to-right,ukwikiquote,wikiquote,uk,https://uk.wikiquote.org,Ukrainian,Wikiquote,Ukrainian Wikiquote
Portuguese Wikisource,203,"118,764",57.1%,44.4%,0.0%,"5,747",21,3,2,13.5%,1,0.0%,438,0.3%,16.4%,2.6%,18.4%,2.4%,0.90,0,"30,415","107,216",4,left-to-right,ptwikisource,wikisource,pt,https://pt.wikisource.org,Portuguese,Wikisource,Portuguese Wikisource
Wu Chinese Wikipedia,204,"40,799",41.0%,17.5%,0.3%,"1,484",28,8,3,11.6%,2,11.8%,763,6.3%,8.2%,13.2%,7.4%,3.4%,0.92,0,"9,728","58,127",6,left-to-right,wuuwiki,wikipedia,wuu,https://wuu.wikipedia.org,Wu Chinese,Wikipedia,Wu Chinese Wikipedia
Igbo Wikipedia,205,"138,310",95.0%,76.3%,0.0%,"7,866",18,2,3,18.0%,0,5.9%,140,4.2%,10.1%,8.1%,22.5%,2.0%,0.83,0,"1,314","11,084",8,left-to-right,igwiki,wikipedia,ig,https://ig.wikipedia.org,Igbo,Wikipedia,Igbo Wikipedia
Bulgarian Wiktionary,206,"173,445",53.7%,48.2%,0.0%,"14,454",12,2,2,9.7%,0,0.0%,141,16.4%,9.5%,4.4%,54.4%,23.7%,0.88,0,"27,709","50,971",2,left-to-right,bgwiktionary,wiktionary,bg,https://bg.wiktionary.org,Bulgarian,Wiktionary,Bulgarian Wiktionary
Lombard Wikipedia,207,"40,504",35.9%,10.3%,0.2%,938,43,8,2,6.2%,0,37.5%,"1,213",22.6%,42.2%,1.3%,2.3%,1.3%,0.96,0,"37,444","157,431",4,left-to-right,lmowiki,wikipedia,lmo,https://lmo.wikipedia.org,Lombard,Wikipedia,Lombard Wikipedia
Yiddish Wikipedia,208,"36,380",14.0%,5.2%,0.3%,"1,108",33,9,2,16.3%,1,11.5%,956,2.5%,28.9%,14.6%,9.7%,2.1%,0.94,0,"14,412","161,300",11,right-to-left,yiwiki,wikipedia,yi,https://yi.wikipedia.org,Yiddish,Wikipedia,Yiddish Wikipedia
Ukrainian Wiktionary,209,"90,482",49.4%,43.2%,0.0%,"6,387",14,4,1,10.8%,0,0.0%,233,35.4%,5.5%,3.9%,32.6%,8.6%,0.88,0,"36,560","104,434",3,left-to-right,ukwiktionary,wiktionary,uk,https://uk.wiktionary.org,Ukrainian,Wiktionary,Ukrainian Wiktionary
Mazanderani Wikipedia,210,"68,347",63.6%,30.1%,0.3%,"3,242",21,5,3,17.7%,0,25.0%,348,6.3%,8.3%,6.6%,11.4%,7.7%,0.92,0,"12,683","25,992",2,right-to-left,mznwiki,wikipedia,mzn,https://mzn.wikipedia.org,Mazanderani,Wikipedia,Mazanderani Wikipedia
Czech Wikiquote,211,"45,190",37.4%,28.0%,0.0%,"2,039",22,7,2,2.5%,0,0.0%,238,17.5%,1.4%,1.6%,8.0%,4.3%,0.87,0,"9,118","37,248",4,left-to-right,cswikiquote,wikiquote,cs,https://cs.wikiquote.org,Czech,Wikiquote,Czech Wikiquote
Hindi Wikibooks,212,"124,639",92.7%,90.5%,0.0%,"16,082",8,2,1,46.8%,0,0.0%,156,3.1%,15.2%,1.5%,17.6%,7.8%,0.90,0,474,"4,700",10,left-to-right,hiwikibooks,wikibooks,hi,https://hi.wikibooks.org,Hindi,Wikibooks,Hindi Wikibooks
Amharic Wikipedia,213,"73,720",66.6%,49.6%,2.2%,"2,665",28,4,2,19.8%,1,8.6%,718,3.2%,9.0%,3.7%,19.1%,4.2%,0.95,0,"14,283","62,324",4,left-to-right,amwiki,wikipedia,am,https://am.wikipedia.org,Amharic,Wikipedia,Amharic Wikipedia
Pashto Wikipedia,214,"33,466",38.3%,19.0%,2.3%,763,44,8,3,27.8%,2,7.5%,"1,340",16.9%,47.6%,3.3%,2.9%,22.0%,0.95,0,"8,938","75,835",8,right-to-left,pswiki,wikipedia,ps,https://ps.wikipedia.org,Pashto,Wikipedia,Pashto Wikipedia
Czech Wikisource,215,"35,690",34.2%,16.6%,0.0%,"1,586",23,8,2,3.2%,0,0.0%,834,41.3%,0.3%,0.1%,1.5%,0.5%,0.93,0,"42,610","105,928",2,left-to-right,cswikisource,wikisource,cs,https://cs.wikisource.org,Czech,Wikisource,Czech Wikisource
Polish Wikivoyage,216,"37,155",42.5%,27.7%,0.0%,"1,615",23,7,2,4.3%,1,0.0%,496,1.0%,1.0%,24.7%,8.0%,1.9%,0.93,0,"6,215","48,489",8,left-to-right,plwikivoyage,wikivoyage,pl,https://pl.wikivoyage.org,Polish,Wikivoyage,Polish Wikivoyage
Spanish Wikinews,217,"26,364",42.5%,11.8%,0.0%,395,67,10,5,1.7%,1,0.3%,"1,000",75.8%,1.1%,0.4%,2.3%,2.3%,0.86,0,"11,084","97,400",9,left-to-right,eswikinews,wikinews,es,https://es.wikinews.org,Spanish,Wikinews,Spanish Wikinews
Romanian Wikisource,218,"131,485",62.9%,58.1%,0.0%,"13,602",10,2,1,14.1%,1,0.0%,163,0.5%,19.3%,1.6%,31.8%,24.5%,0.88,0,"11,158","52,178",5,left-to-right,rowikisource,wikisource,ro,https://ro.wikisource.org,Romanian,Wikisource,Romanian Wikisource
Persian Wikivoyage,219,"56,175",74.6%,67.5%,0.0%,"1,926",29,5,1,30.1%,1,1.9%,492,0.4%,14.6%,8.4%,19.8%,7.8%,0.91,0,"8,496","38,658",5,right-to-left,fawikivoyage,wikivoyage,fa,https://fa.wikivoyage.org,Persian,Wikivoyage,Persian Wikivoyage
Sakha Wikipedia,220,"24,334",28.5%,8.7%,0.1%,531,46,10,1,9.9%,6,0.8%,510,6.7%,6.9%,19.1%,6.7%,2.6%,0.84,0,"11,612","72,848",6,left-to-right,sahwiki,wikipedia,sah,https://sah.wikipedia.org,Sakha,Wikipedia,Sakha Wikipedia
Bhojpuri Wikipedia,221,"58,588",63.2%,27.8%,0.5%,"2,032",29,4,2,16.5%,1,22.2%,"2,373",32.2%,2.1%,1.0%,4.5%,2.2%,0.98,0,"7,677","34,013",4,left-to-right,bhwiki,wikipedia,bh,https://bh.wikipedia.org,Bhojpuri,Wikipedia,Bhojpuri Wikipedia
Fiji Hindi Wikipedia,222,"69,550",63.3%,32.5%,0.3%,"2,529",28,3,2,11.0%,1,0.0%,430,3.3%,5.8%,1.8%,14.4%,2.1%,0.91,0,"9,749","41,868",4,left-to-right,hifwiki,wikipedia,hif,https://hif.wikipedia.org,Fiji Hindi,Wikipedia,Fiji Hindi Wikipedia
Romanian Wiktionary,223,"86,340",63.1%,47.4%,0.0%,"6,772",13,3,1,6.8%,0,0.0%,259,64.9%,4.1%,0.9%,7.1%,3.8%,0.93,0,"144,987","167,529",1,left-to-right,rowiktionary,wiktionary,ro,https://ro.wiktionary.org,Romanian,Wiktionary,Romanian Wiktionary
Interlingua Wikipedia,224,"44,427",26.0%,7.5%,0.2%,"1,932",23,5,3,3.5%,1,50.0%,471,47.7%,4.9%,13.6%,3.9%,2.5%,0.91,0,"20,642","126,475",6,left-to-right,iawiki,wikipedia,ia,https://ia.wikipedia.org,Interlingua,Wikipedia,Interlingua Wikipedia
Chuvash Wikipedia,225,"24,360",19.4%,3.8%,0.1%,675,36,9,3,3.3%,1,20.0%,"1,776",10.6%,0.3%,1.5%,2.0%,2.4%,0.95,0,"41,300","119,226",3,left-to-right,cvwiki,wikipedia,cv,https://cv.wikipedia.org,Chuvash,Wikipedia,Chuvash Wikipedia
Western Punjabi Wikipedia,226,"36,412",28.3%,9.5%,0.1%,"1,344",27,6,2,8.5%,0,33.3%,"1,492",6.6%,2.0%,1.2%,1.3%,3.4%,0.97,0,"46,508","180,778",4,right-to-left,pnbwiki,wikipedia,pnb,https://pnb.wikipedia.org,Western Punjabi,Wikipedia,Western Punjabi Wikipedia
French Wikinews,227,"34,384",51.5%,31.2%,0.0%,909,38,6,5,11.9%,0,0.0%,297,89.3%,4.2%,11.0%,10.5%,2.5%,0.87,0,"20,246","139,410",7,left-to-right,frwikinews,wikinews,fr,https://fr.wikinews.org,French,Wikinews,French Wikinews
German Wikinews,228,"27,880",40.5%,12.9%,0.0%,924,30,7,3,2.3%,1,2.4%,587,70.4%,1.6%,2.8%,7.5%,2.9%,0.91,0,"13,466","213,420",16,left-to-right,dewikinews,wikinews,de,https://de.wikinews.org,German,Wikinews,German Wikinews
Limburgish Wikipedia,229,"31,465",32.7%,7.8%,0.1%,"1,404",22,6,3,4.8%,0,0.0%,647,37.4%,1.1%,3.1%,3.5%,1.8%,0.95,0,"12,196","127,805",10,left-to-right,liwiki,wikipedia,li,https://li.wikipedia.org,Limburgish,Wikipedia,Limburgish Wikipedia
Czech Wikiversity,230,"10,059",28.6%,15.0%,0.0%,180,56,19,3,1.7%,4,50.4%,683,7.8%,0.7%,1.0%,3.1%,1.2%,0.86,0,"3,667","40,318",11,left-to-right,cswikiversity,wikiversity,cs,https://cs.wikiversity.org,Czech,Wikiversity,Czech Wikiversity
Vietnamese Wikiquote,231,"75,308",65.2%,52.6%,0.0%,"6,744",11,3,2,20.0%,1,0.0%,270,1.1%,12.2%,1.8%,41.1%,21.6%,0.92,0,311,"21,629",70,left-to-right,viwikiquote,wikiquote,vi,https://vi.wikiquote.org,Vietnamese,Wikiquote,Vietnamese Wikiquote
Hindi Wiktionary,232,"109,816",89.9%,71.0%,0.0%,"11,459",10,2,1,28.1%,0,0.0%,344,13.3%,19.5%,0.7%,8.5%,5.5%,0.93,0,"183,141","36,360",0,left-to-right,hiwiktionary,wiktionary,hi,https://hi.wiktionary.org,Hindi,Wiktionary,Hindi Wiktionary
Turkish Wikibooks,233,"73,477",63.0%,55.3%,0.0%,"8,240",9,3,2,15.9%,0,0.0%,97,0.9%,14.4%,6.2%,38.6%,18.5%,0.84,0,811,"15,846",20,left-to-right,trwikibooks,wikibooks,tr,https://tr.wikibooks.org,Turkish,Wikibooks,Turkish Wikibooks
Serbian Wiktionary,234,"92,203",58.8%,44.5%,0.0%,"10,742",9,2,1,9.6%,0,5.9%,"3,414",0.6%,0.2%,0.1%,0.7%,0.2%,0.98,0,"215,333","96,719",0,left-to-right,srwiktionary,wiktionary,sr,https://sr.wiktionary.org,Serbian,Wiktionary,Serbian Wiktionary
Turkmen Wikipedia,235,"33,978",50.2%,24.3%,0.3%,"1,692",20,5,3,17.1%,2,11.1%,315,1.2%,8.3%,18.6%,13.8%,4.5%,0.88,0,"5,429","30,635",6,left-to-right,tkwiki,wikipedia,tk,https://tk.wikipedia.org,Turkmen,Wikipedia,Turkmen Wikipedia
Portuguese Wikinews,236,"19,784",61.2%,46.2%,0.0%,573,35,9,4,12.9%,1,1.5%,"1,113",73.9%,4.3%,2.5%,1.6%,8.9%,0.94,0,"12,640","73,360",6,left-to-right,ptwikinews,wikinews,pt,https://pt.wikinews.org,Portuguese,Wikinews,Portuguese Wikinews
Ido Wikipedia,237,"31,878",15.9%,4.8%,0.1%,978,33,6,3,6.8%,1,50.0%,"1,379",25.8%,0.9%,11.1%,5.1%,0.7%,0.97,0,"27,750","157,057",6,left-to-right,iowiki,wikipedia,io,https://io.wikipedia.org,Ido,Wikipedia,Ido Wikipedia
Chechen Wikipedia,238,"27,630",29.2%,6.6%,0.1%,"1,023",27,6,3,10.7%,0,25.0%,"3,672",94.7%,1.7%,0.5%,1.4%,1.0%,0.98,0,"164,911","356,059",2,left-to-right,cewiki,wikipedia,ce,https://ce.wikipedia.org,Chechen,Wikipedia,Chechen Wikipedia
Sanskrit Wikipedia,239,"29,825",36.7%,13.4%,0.9%,345,86,6,2,10.1%,1,0.0%,917,4.3%,5.1%,8.7%,8.3%,3.9%,0.87,0,"11,311","187,194",17,left-to-right,sawiki,wikipedia,sa,https://sa.wikipedia.org,Sanskrit,Wikipedia,Sanskrit Wikipedia
Malagasy Wikipedia,240,"35,086",35.4%,11.3%,0.1%,"1,196",29,5,3,8.3%,1,12.5%,"1,408",0.5%,23.4%,13.5%,68.7%,0.8%,0.97,0,"84,994","33,627",0,left-to-right,mgwiki,wikipedia,mg,https://mg.wikipedia.org,Malagasy,Wikipedia,Malagasy Wikipedia
Finnish Wikiquote,241,"43,369",56.8%,39.0%,0.0%,"3,173",14,4,2,5.2%,0,0.0%,"1,747",0.2%,0.4%,0.2%,1.7%,2.4%,0.97,0,"3,283","50,420",15,left-to-right,fiwikiquote,wikiquote,fi,https://fi.wikiquote.org,Finnish,Wikiquote,Finnish Wikiquote
Greek Wikisource,242,"36,140",40.8%,21.4%,0.0%,"2,357",15,5,2,2.4%,0,25.0%,"1,267",13.7%,2.2%,0.5%,0.9%,1.5%,0.94,0,"11,589","53,958",5,left-to-right,elwikisource,wikisource,el,https://el.wikisource.org,Greek,Wikisource,Greek Wikisource
Kurdish Wiktionary,243,"12,534",57.7%,16.1%,0.0%,450,28,13,2,13.9%,1,20.6%,"2,953",96.1%,6.8%,0.2%,5.6%,3.1%,0.95,0,"633,064","290,725",0,left-to-right,kuwiktionary,wiktionary,ku,https://ku.wiktionary.org,Kurdish,Wiktionary,Kurdish Wiktionary
Neapolitan Wikipedia,244,"51,180",54.5%,18.9%,0.3%,"2,870",18,3,3,12.1%,0,10.0%,166,56.5%,10.1%,14.9%,25.7%,7.9%,0.86,0,"14,539","46,584",3,left-to-right,napwiki,wikipedia,nap,https://nap.wikipedia.org,Neapolitan,Wikipedia,Neapolitan Wikipedia
Central Bikol Wikipedia,245,"28,563",34.5%,11.8%,0.1%,"1,632",18,6,3,6.1%,1,0.0%,688,5.7%,2.1%,3.5%,13.2%,1.3%,0.94,0,"7,892","40,181",5,left-to-right,bclwiki,wikipedia,bcl,https://bcl.wikipedia.org,Central Bikol,Wikipedia,Central Bikol Wikipedia
Ukrainian Wikisource,246,"33,344",51.6%,21.6%,0.0%,"2,117",16,5,2,6.7%,0,0.0%,"1,056",0.6%,0.4%,0.3%,0.8%,0.7%,0.93,0,"11,573","69,965",6,left-to-right,ukwikisource,wikisource,uk,https://uk.wikisource.org,Ukrainian,Wikisource,Ukrainian Wikisource
Hungarian Wikibooks,247,"51,789",43.6%,29.1%,0.0%,"3,984",13,3,3,2.0%,0,5.0%,"3,327",5.7%,0.1%,0.1%,0.6%,0.7%,0.98,0,"30,855","207,004",7,left-to-right,huwikibooks,wikibooks,hu,https://hu.wikibooks.org,Hungarian,Wikibooks,Hungarian Wikibooks
Faroese Wikipedia,248,"34,840",24.0%,7.9%,2.7%,"1,174",30,4,3,6.5%,1,0.0%,307,10.2%,4.0%,12.3%,24.3%,6.3%,0.89,0,"12,778","96,034",8,left-to-right,fowiki,wikipedia,fo,https://fo.wikipedia.org,Faroese,Wikipedia,Faroese Wikipedia
Danish Wiktionary,249,"37,147",50.2%,31.0%,0.0%,"2,622",14,4,1,1.2%,0,0.0%,412,40.7%,0.7%,0.3%,10.7%,2.4%,0.93,0,"38,518","101,813",3,left-to-right,dawiktionary,wiktionary,da,https://da.wiktionary.org,Danish,Wiktionary,Danish Wiktionary
Serbian Wikisource,250,"57,754",60.6%,48.1%,0.0%,"6,538",9,3,2,8.3%,1,14.3%,304,0.2%,2.5%,0.3%,6.7%,3.2%,0.93,0,"15,070","43,069",3,left-to-right,srwikisource,wikisource,sr,https://sr.wikisource.org,Serbian,Wikisource,Serbian Wikisource
Lithuanian Wiktionary,251,"59,135",45.6%,28.8%,0.0%,"7,096",8,2,1,5.2%,0,0.0%,111,88.3%,7.4%,2.9%,21.4%,13.8%,0.84,0,"616,178","310,968",1,left-to-right,ltwiktionary,wiktionary,lt,https://lt.wiktionary.org,Lithuanian,Wiktionary,Lithuanian Wiktionary
Minangkabau Wikipedia,252,"22,385",49.0%,13.8%,0.1%,770,29,6,2,8.0%,2,3.2%,433,5.1%,4.1%,13.7%,4.3%,1.4%,0.89,0,"222,210","305,732",1,left-to-right,minwiki,wikipedia,min,https://min.wikipedia.org,Minangkabau,Wikipedia,Minangkabau Wikipedia
Bangla Wikisource,253,"51,098",86.0%,63.7%,0.0%,"2,190",23,3,3,19.9%,0,2.6%,"3,869",73.3%,0.9%,0.1%,0.4%,0.4%,0.97,0,"15,083","122,771",8,left-to-right,bnwikisource,wikisource,bn,https://bn.wikisource.org,Bangla,Wikisource,Bangla Wikisource
Azerbaijani Wikisource,254,"43,375",73.0%,53.7%,0.0%,"4,266",10,3,2,18.8%,0,12.5%,655,0.1%,1.6%,0.3%,2.3%,1.9%,0.95,0,"8,416","29,820",4,left-to-right,azwikisource,wikisource,az,https://az.wikisource.org,Azerbaijani,Wikisource,Azerbaijani Wikisource
Italian Wikinews,255,"30,092",63.5%,28.7%,0.0%,"1,720",18,5,3,3.7%,0,0.0%,230,27.8%,1.9%,1.9%,7.3%,3.6%,0.85,0,"9,010","86,931",10,left-to-right,itwikinews,wikinews,it,https://it.wikinews.org,Italian,Wikinews,Italian Wikinews
Goan Konkani Wikipedia,256,"10,311",30.4%,8.7%,0.2%,376,27,13,1,4.0%,5,3.7%,221,15.0%,3.5%,6.9%,3.7%,2.2%,0.58,15,"3,507","113,317",32,left-to-right,gomwiki,wikipedia,gom,https://gom.wikipedia.org,Goan Konkani,Wikipedia,Goan Konkani Wikipedia
Haitian Creole Wikipedia,257,"24,686",36.9%,9.9%,0.2%,"1,050",24,5,2,11.2%,1,10.0%,697,1.1%,12.1%,2.0%,10.0%,1.0%,0.95,0,"52,429","121,686",2,left-to-right,htwiki,wikipedia,ht,https://ht.wikipedia.org,Haitian Creole,Wikipedia,Haitian Creole Wikipedia
Maithili Wikipedia,258,"15,843",30.3%,6.2%,0.2%,512,31,8,2,11.6%,0,12.5%,"1,440",1.1%,1.1%,0.7%,1.0%,0.9%,0.95,0,"12,499","48,606",4,left-to-right,maiwiki,wikipedia,mai,https://mai.wikipedia.org,Maithili,Wikipedia,Maithili Wikipedia
Quechua Wikipedia,259,"22,584",19.2%,5.2%,0.2%,916,25,6,2,6.5%,1,66.7%,258,7.0%,17.4%,3.4%,9.1%,2.0%,0.87,0,"20,677","141,686",7,left-to-right,quwiki,wikipedia,qu,https://qu.wikipedia.org,Quechua,Wikipedia,Quechua Wikipedia
