wiki,overall size rank,monthly unique devices,mobile unique devices,mobile web pageviews,mobile app pageviews,unique devices per editor,monthly editors,monthly active editors,monthly active administrators,majority-mobile editors,monthly new active editors,second-month new editor retention,monthly nonbot edits,bot edits,mobile edits,visual edits,anonymous edits,revert rate,edits Gini coefficient,monthly flow messages,content pages,cumulative content edits,edits per content page,script direction,database code,project code,language code,domain name,language name,project name,wiki name
Bosnian Wikibooks,662,"1,687",58.5%,50.4%,0.0%,723,1,0,1,0.0%,0,0.0%,3,91.4%,21.1%,0.0%,29.0%,7.1%,0.51,0,"2,150","16,567",8,left-to-right,angwiktionary,wikibooks,bs,https://ang.wiktionary.org,Bosnian,Wiktionary,Bosnian Wikibooks
Bosnian Wikinews,662,550,10.0%,9.6%,0.0%,0,2,0,0,0.0%,0,0.0%,9,0.0%,10.3%,0.0%,4.7%,3.7%,0.59,0,0,0,0,left-to-right,alswiktionary,wikinews,bs,https://als.wiktionary.org,Bosnian,Wiktionary,Bosnian Wikinews
Javanese Wiktionary,662,"34,139",87.3%,83.1%,0.0%,0,2,0,3,0.0%,0,1.5%,8,0.0%,52.2%,0.0%,55.4%,13.0%,0.66,0,"2,380","103,315",43,left-to-right,betawikiversity,wiktionary,jv,https://beta.wikiversity.org,Javanese,Wikiversity Beta,Javanese Wiktionary
Kinyarwanda Wiktionary,662,823,13.9%,7.6%,0.0%,449,1,0,1,0.0%,0,0.0%,2,44.6%,20.0%,0.0%,10.0%,0.0%,0.31,0,673,425,1,left-to-right,lnwiktionary,wiktionary,rw,https://ln.wiktionary.org,Kinyarwanda,Wiktionary,Kinyarwanda Wiktionary
Yiddish Wiktionary,662,758,6.2%,7.6%,0.0%,827,2,0,0,0.0%,0,0.0%,3,50.0%,18.2%,0.0%,15.2%,0.0%,0.32,0,359,817,2,right-to-left,tswiktionary,wiktionary,yi,https://ts.wiktionary.org,Yiddish,Wiktionary,Yiddish Wiktionary
Inuktitut Wiktionary,662,837,10.0%,8.1%,0.0%,"1,004",1,0,0,0.0%,0,0.0%,3,71.9%,5.4%,0.0%,27.0%,0.0%,0.43,0,442,"1,145",3,left-to-right,kwwiktionary,wiktionary,iu,https://kw.wiktionary.org,Inuktitut,Wiktionary,Inuktitut Wiktionary
Icelandic Wikiquote,662,"3,054",21.3%,12.6%,0.0%,"1,409",1,0,0,4.4%,0,0.0%,5,59.1%,1.7%,0.0%,20.0%,1.7%,0.54,0,458,"3,514",8,left-to-right,guwiktionary,wikiquote,is,https://gu.wiktionary.org,Icelandic,Wiktionary,Icelandic Wikiquote
Somali Wiktionary,662,985,6.2%,19.7%,0.0%,"1,075",2,0,1,10.0%,0,0.0%,4,84.4%,0.0%,0.0%,31.6%,0.0%,0.47,0,292,"1,426",5,left-to-right,sswiktionary,wiktionary,so,https://na.wiktionary.org,Sango,Wiktionary,Somali Wiktionary
Interlingua Wikibooks,662,"1,864",14.3%,5.7%,0.0%,"1,864",1,0,0,0.0%,0,0.0%,4,6.6%,0.0%,0.0%,45.8%,0.0%,0.57,0,66,779,12,left-to-right,cvwikibooks,wikibooks,ia,https://cv.wikibooks.org,Interlingua,Wikibooks,Interlingua Wikibooks
Wolof Wikiquote,662,"3,812",6.4%,8.9%,0.0%,"1,830",1,0,0,5.3%,0,0.0%,2,13.9%,0.0%,7.3%,11.1%,0.0%,0.33,0,"1,154","7,969",7,left-to-right,glwikibooks,wikiquote,wo,https://gl.wikibooks.org,Wolof,Wikibooks,Wolof Wikiquote
Zulu Wiktionary,662,"1,313",16.4%,4.5%,0.0%,"1,575",1,0,1,0.0%,0,0.0%,3,11.1%,3.5%,0.0%,27.5%,0.0%,0.39,0,17,303,18,left-to-right,uzwikiquote,wiktionary,zu,https://ss.wiktionary.org,Somali,Wikiquote,Zulu Wiktionary
Kyrgyz Wikiquote,662,754,77.0%,4.7%,0.0%,480,1,0,0,0.0%,0,0.0%,5,56.5%,20.7%,2.7%,46.0%,0.7%,0.59,0,27,140,5,right-to-left,gdwiktionary,wiktionary,cy,https://ky.wikibooks.org,Scottish Gaelic,Wikibooks,Kyrgyz Wikiquote
Divehi Wiktionary,662,"5,683",10.9%,6.5%,0.0%,"13,467",1,0,0,0.0%,0,0.0%,3,9.8%,3.5%,2.1%,10.4%,0.0%,0.55,0,1,114,114,left-to-right,cywikibooks,wikibooks,ky,https://gd.wiktionary.org,Welsh,Wikiquote,Divehi Wiktionary
Uzbek Wikiquote,662,"1,160",22.5%,6.2%,0.0%,"1,160",2,0,1,10.5%,0,0.0%,3,65.0%,9.1%,5.9%,16.7%,0.0%,0.37,0,"1,631","2,984",2,left-to-right,sowiktionary,wiktionary,uz,https://sg.wiktionary.org,Swati,Wiktionary,Uzbek Wikiquote
Moldovan Wikipedia,662,596,17.5%,15.6%,0.0%,893,0,0,1,0.0%,0,0.0%,0,54.5%,0.0%,0.0%,0.0%,0.0%,0.00,0,41,397,10,left-to-right,fywikibooks,wikipedia,als,https://fy.wikibooks.org,Tosk,Wikinews,Moldovan Wikipedia
Aymara Wiktionary,662,826,28.0%,13.9%,0.0%,"1,101",1,0,1,0.0%,0,0.0%,2,55.3%,3.5%,0.0%,24.5%,0.0%,0.39,0,10,149,15,left-to-right,fowikisource,wiktionary,pa,https://fo.wikisource.org,Punjabi,Wiktionary,Aymara Wiktionary
Tosk Wikiquote,662,"1,723",33.2%,0.0%,0.0%,862,1,0,1,0.0%,0,0.0%,65,39.9%,0.0%,1.6%,0.0%,0.0%,0.00,0,"31,305","36,437",1,left-to-right,fjwiktionary,wikiquote,pms,https://fj.wiktionary.org,Piedmontese,Wiktionary,Tosk Wikiquote
Ingush Wikipedia,662,703,0.0%,12.9%,0.0%,"1,074",2,0,0,0.0%,0,100.0%,290,61.7%,5.1%,17.5%,10.0%,0.0%,0.00,0,115,"1,206",10,left-to-right,fiwikinews,wikisource,bn,https://pi.wikipedia.org,Moldovan,Wiktionary,Ingush Wikipedia
Gorontalo Wikipedia,662,941,0.0%,0.0%,0.0%,"1,254",4,0,2,12.5%,1,0.0%,631,33.3%,0.1%,6.7%,0.2%,0.0%,0.00,0,62,323,5,left-to-right,tgwikibooks,wikipedia,lfn,https://tg.wikibooks.org,Lingua Franca Nova,Wiktionary,Gorontalo Wikipedia
Basque Wikisource,662,"6,039",0.0%,0.0%,0.0%,"1,368",1,0,0,0.0%,1,50.0%,2,9.7%,0.0%,0.3%,0.0%,0.0%,0.32,0,365,962,3,left-to-right,tiwiktionary,wiktionary,inh,https://fi.wikinews.org,Bangla,Wikiquote,Basque Wikisource
Moldovan Wiktionary,662,716,20.3%,0.0%,0.0%,"2,499",1,0,1,0.0%,0,0.0%,49,51.4%,0.0%,0.0%,4.2%,0.0%,0.00,0,"2,529","3,226",1,left-to-right,tnwiktionary,wikivoyage,om,https://cy.wikiquote.org,Basque,Wikipedia,Moldovan Wiktionary
Lingua Franca Nova Wikipedia,662,856,0.0%,0.0%,0.0%,395,3,0,0,0.0%,1,0.0%,718,3.2%,0.1%,1.0%,0.3%,0.0%,0.00,0,151,"1,262",8,left-to-right,tpiwiktionary,wikipedia,gor,https://tpi.wiktionary.org,Gorontalo,Wikibooks,Lingua Franca Nova Wikipedia
Oromo Wiktionary,662,"2,244",12.5%,0.0%,0.0%,938,0,0,1,0.0%,0,0.0%,0,67.1%,0.0%,0.0%,0.3%,0.0%,0.00,0,106,342,3,left-to-right,cywikiquote,wiktionary,eu,https://ti.wiktionary.org,Ingush,Wiktionary,Oromo Wiktionary
